screen_name,t_counts,status_id,user_id,created_at,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
htTweets,130,1240528263455232001,36327407,2020-03-19T06:39:20Z,"Two US Congress members test positive for #coronavirus

https://t.co/4C4fdwg9Xz https://t.co/wvP86W96Pb",TweetDeck,,,,False,False,2971,9,,,,7154048,126,,2009-04-29T10:11:34Z,True,en
TheQuint,108,1240530158341087234,2982269822,2020-03-19T06:46:52Z,"Given the #coronavirus outbreak, @RichaChadha and @alifazal9 have postponed their wedding to the latter half of the year. 
https://t.co/BL915qklor",Twitter Web App,,,,False,False,263,0,,,,438483,314,,2015-01-14T09:43:21Z,True,en
dailystar,179,1240525409915150337,20442930,2020-03-19T06:28:00Z,WHO and NHS issue guidance amid ibuprofen #coronavirus 'warning' fears https://t.co/EokVhODyfr https://t.co/bXzRvYdhel,TweetDeck,,,,False,False,838,2,,,,195771,3592,,2009-02-09T15:45:17Z,True,en
latestly,138,1240583369601081344,828841083257778176,2020-03-19T10:18:18Z,"#CoronavirusOutbreak: Sample of #Punjab Man Who Died Reportedly Tests Positive For #COVID19
https://t.co/aDEsYAsmlf",Twitter Web App,,,,False,False,68,0,,,,56252,339,,2017-02-07T05:41:28Z,True,en
ANCALERTS,238,1240505808103723008,44728980,2020-03-19T05:10:06Z,@joycebalancio Panelo: The Palace also joins the DOLE in thanking some of the large companies of our country for heeding the appeal of the government to provide their workers and employees their respective salaries and benefits | via @joycebalancio #LuzonLockdown #COVID19,TweetDeck,1.2405055208652145e+18,44728980.0,ANCALERTS,False,False,5453,0,,,,4853018,777,,2009-06-04T21:26:24Z,True,en
ABSCBNNews,137,1240737306341830657,15872418,2020-03-19T20:30:00Z,Palace tells LGUs to follow quarantine guidelines or face charges #COVID19 #LuzonLockdown https://t.co/behVoy5qpS,TweetDeck,,,,False,False,1071,19,,,,6733162,1075,,2008-08-16T10:09:33Z,True,en
ANI,112,1240658425328979971,355989081,2020-03-19T15:16:33Z,"Uttarakhand Additional Health Secretary, Yugal Kishore Pant: Two trainees at the Indira Gandhi National Forest Academy have tested positive for #Coronavirus. Both the trainees were part of a team that went to Spain and had recently returned. https://t.co/9jMepkbamP",Twitter Web App,,,,False,False,0,101,,,,3508700,0,,2011-08-16T05:23:41Z,True,en
ians_india,114,1240594598709170176,141584822,2020-03-19T11:02:56Z,"Take a look: Outbreak of #Coronavirus-related domains

#CoronaVirusUpdate #coronavirusindia https://t.co/oUpruag3v3",Twitter Web App,,,,False,False,14,0,,,,32591,45,,2010-05-08T13:21:45Z,True,en
ians_india,114,1240665427493224449,141584822,2020-03-19T15:44:23Z,"Battered by the global outbreak of #coronavirus infections, airline major #IndiGo (@IndiGo6E) has decided to institute pay cuts for a majority of its employees.

#COVID #Covid19India 

Photo: IANS https://t.co/aWXpco3IvC",Twitter Web App,,,,False,False,14,1,,,,32587,45,,2010-05-08T13:21:45Z,True,en
BloombergQuint,101,1240657841960017920,714731566828793857,2020-03-19T15:14:14Z,"#CoronavirusOutbreak will push India's fiscal deficit to 3.88% of GDP this fiscal: SBI Research’s Ecowrap report
https://t.co/7zTZ6MVokH",TweetDeck,,,,False,False,90,0,,,,121716,193,,2016-03-29T08:30:59Z,True,en
ANI,112,1240601432161583105,355989081,2020-03-19T11:30:05Z,"Maharashtra: In view of #Coronavirus, Bombay High Court and Nagpur, Aurangabad and Goa benches of the Court to be functional only on 23rd &amp; 26th March to take up only urgent matters https://t.co/RRBKosRUEe",Twitter Web App,,,,False,False,0,23,,,,3508995,0,,2011-08-16T05:23:41Z,True,en
ndtv,116,1240517598879481856,37034483,2020-03-19T05:56:57Z,"""Order lockdown of cities,"" Congress’ P Chidambaram tells centre as #coronavirus spreads https://t.co/wKuR183QNI https://t.co/47F55pJfb2",Twitter Web App,,,,False,False,0,18,,,,12245460,14,,2009-05-01T20:34:48Z,True,en
htTweets,130,1240519764516032512,36327407,2020-03-19T06:05:34Z,"#Coronavirus is a large family of viruses that cause illnesses from the common cold to more severe diseases such as MERS and SARS. 

For more information on #Covid19, click here: https://t.co/8DaFapzLj0 

#COVID2019india https://t.co/EJMCDO5195",Twitter Web App,,,,False,False,2971,36,,,,7152717,126,,2009-04-29T10:11:34Z,True,en
ANCALERTS,238,1240516715718397959,44728980,2020-03-19T05:53:27Z,"President Duterte will meet with the gov't inter-agency task force on #COVID19, economic managers, and the military at 4 pm, Sen. Bong Go says | via @arianne_merez",TweetDeck,,,,False,False,5453,4,,,,4853018,777,,2009-06-04T21:26:24Z,True,en
timesofindia,187,1240625836161511426,134758540,2020-03-19T13:07:03Z,"One more Covid-19 positive case reported in Kerala. The patient is from Kasaragod

#CautionYesPanicNo

#COVID19India
#CoronavirusOutbreak
#CoronavirusUpdates 👇

https://t.co/Wn5tgSPtwd https://t.co/HEnFV9iIEI",Twitter Web App,,,,False,False,5,9,,,,12397657,530,,2010-04-19T10:50:15Z,True,en
